,ortnamn,kommun,pop,area,popdensity,orttyp,latitude,longitude,efterled
Mjällom (Kramfors kommun),Mjällom,Kramfors,205,109,188,tätort,62.9866904,18.4304287,om
Mjöbäck (Svenljunga kommun),Mjöbäck,Svenljunga,304,77,394,tätort,57.314698,12.8756158,bäck
Mjöhult (Höganäs kommun),Mjöhult,Höganäs,327,43,755,tätort,56.1763686,12.6838371,hult
Mjölby (Mjölby kommun),Mjölby,Mjölby,13596,885,1536,tätort,58.3254361,15.131448,by
Mjönäs (Hagfors kommun),Mjönäs,Hagfors,249,121,205,tätort,59.8794529,13.55936,näs
Mockfjärd (Gagnef kommun),Mockfjärd,Gagnef,2011,388,519,tätort,60.5028991,14.9599557,
Mogata (Söderköping kommun),Mogata,Söderköping,299,45,657,tätort,58.4511278,16.4517857,ta
Mohed (Söderhamn kommun),Mohed,Söderhamn,512,185,276,tätort,61.2945405,16.8270511,hed
Moheda (Alvesta kommun),Moheda,Alvesta,1930,255,757,tätort,57.0043559,14.572811,eda
Moholm (Töreboda kommun),Moholm,Töreboda,606,102,592,tätort,58.6070279,14.0383395,holm
Moliden (Örnsköldsvik kommun),Moliden,Örnsköldsvik,290,66,437,tätort,63.3792944,18.4555731,liden
Molkom (Karlstad kommun),Molkom,Karlstad,1860,252,737,tätort,59.602235,13.728668,om
Mollösund (Orust kommun),Mollösund,Orust,212,122,173,tätort,58.0733134,11.4754999,sund
Mora (Mora kommun),Mora,Mora,12801,1719,745,tätort,61.0082091,14.5431333,mora
Morgongåva (Heby kommun),Morgongåva,Heby,1490,149,1001,tätort,59.9337595,16.9626975,
Morup (Falkenberg kommun),Morup,Falkenberg,330,87,378,tätort,56.9816086,12.3990785,rup
Motala (Motala kommun),Motala,Motala,31476,2028,1552,tätort,58.5420395,15.041261,ala
Mullhyttan (Lekeberg kommun),Mullhyttan,Lekeberg,521,141,369,tätort,59.1515687,14.6836583,tan
Mullsjö (Mullsjö kommun),Mullsjö,Mullsjö,5741,540,1063,tätort,57.9168131,13.8804724,sjö
Munga (Västerås kommun),Munga,Västerås,272,100,273,tätort,59.7446617,16.5219601,
Munka-Ljungby (Ängelholm kommun),Munka-Ljungby,Ängelholm,3389,302,1122,tätort,56.2561018,12.9739758,by
Munkedal (Munkedal kommun),Munkedal,Munkedal,4138,565,732,tätort,58.4666055,11.6733554,dal
Munkfors (Munkfors kommun),Munkfors,Munkfors,2957,609,485,tätort,59.83417,13.5481044,fors
Munktorp (Köping kommun),Munktorp,Köping,415,52,805,tätort,59.5325778,16.1342843,torp
Muskö (Haninge kommun),Muskö,Haninge,279,68,413,tätort,58.995830850000004,18.11485777044623,ö
Myckle (Skellefteå kommun),Myckle,Skellefteå,430,109,393,tätort,64.7530007,20.8431372,
Myresjö (Vetlanda kommun),Myresjö,Vetlanda,730,115,634,tätort,57.3846614,14.9664363,sjö
